Dossier,Guideline,PDF link,type of study,442C/MIE_reactivity class,442C/MIE_Mean of depletion (cystine/lysine) (%),442C/MIE_Mean of depletion (cystine) (%),442C/MIE_description of relevant observations related to the analysis,442C/MIE_homogeneity,442C/MIE_pH,442C/MIE_molecular weight,442C/MIE_composition,442C/MIE_purity (%),442C/MIE_solubility in vehicle,442C/MIE_solubility in water,442C/MIE_treatment prior to application,442C/MIE_chemical batch nr,442C/MIE_additional information,442C/MIE_deviations from guideline ,442C/MIE_HPLC analysis <30h,442C/MIE_type of HPLC,442C/MIE_columns,column temperature,detector,injection volumes,442C/MIE_flow rate,gradient,442C/MIE_concentrations tested,442C/MIE_purity,442C/MIE_supplier ,lot,442C/MIE_peptide concentration,442C/MIE_year,442C/MIE_GLP,442C/MIE_SCCS comment to test,442C/MIE_Ref. in dossier,442C/MIE_control,442C/MIE_storage condition,442C/MIE_additional information,442C/MIE_own comments,442D_max average luciferase activity (maximal induction),442D_mean cell viability /concentration,442D_EC 1.5 concentration,442D_IC50 cell viability concentration,442D_IC30 cell viability concentration,442D_conc. for maximal gene induction (CI max ),prediction outcome,442D_homogeneity,442D_pH,442D_concentration (%),442D_composition,442D_purity (%),442D_solubility in solvent,442D_chemical batch nr,additional info (free text),442D_deviation from guideline,442D_type,442D_medium,442D_cell passage number,442D_confluence,442D_cell density/well (96) fixed at 10000cells/well,442D_deviation from guideline,442D_lusens_type,442D_lusens_medium,442D_cell passage number,442D_confluence,442D_cell density/well (96) fixed at 10000cells/well,,442D_concentration ,442D_solvent,442D_luminometer,442D_duration of exposure (h),442D_Year,442D_GLP,442D_SCCS comment to test,442D_Ref. in dossier,442D_controls,442D_additional information,442D_own comments,442E_mean cell viability /concentration,442E_C75 value,442E_relative flurecent intensity (CD54),442E_relative flurecent intensity (CD86),442E_predicion outcome,442E_mean cell viability /concentration,442E_C70 value,EC150 CD86 stimulation index,442E_predicion outcome,442E_GAPLA,442E_IL8LA,442E_nIL8LA/GAPLA,442E_Ind-IL8LA,442E_Inh-GAPLA,442E_CV05,442E_predicion outcome,442E_homogeneity,442E_pH,concentration (%),442E_composition,442E_purity (%),442E_solubility in solvent,chemical batch nr,442E_additional info (free text),442E_deviation from guideline,442E_source,medium,442E_cell passage number,442E_cell density/well (24),442E_cell density/well (96),442E_deviation from guideline,442E_type,442E_medium,442E_cell passage number,442E_confluence,442E_cell density/well (96),442E_deviation from guideline,442E_type,medium,442E_cell passage number,442E_confluence,442E_cell density/well (96),442E_concentration,442E_solvent,442E_antibody,flow cytometer,442E_duration of exposure (h),442E_Year,442E_GLP,442E_SCCS comment to test,442E_Ref. in dossier,442E_additional information,442E_own comments,429_442A_442B_observations and recording of toxicity,429_442A_442B_stimulation index (SI),429_442A_442B_ATP measurments,429_442A_442B_relative luminecence units (RLU),429_442A_442B_BrdI labelling index,429_442A_442B_erythema scores,429_442A_442B_ear thickness,429_442A_442B_conclusion,429_442A_442B_homogeneity,429_442A_442B_pH,429_442A_442B_physical form,429_442A_442B_concentration (%),429_442A_442B_composition,429_442A_442B_purity (%),429_442A_442B_solubility in vehicle,429_442A_442B_chemical batch nr,429_442A_442B_additional info,429_442A_442B_species/strain,429_442A_442B_source,429_442A_442B_age at start of experiment,429_442A_442B_sex,429_442A_442B_feed,429_442A_442B_n animals / group,429_442A_442B_deviation from guideline,429_442A_442B_dose levels,429_442A_442B_volume,429_442A_442B_administration scheme,429_442A_442B_vehicle,429_442A_442B_year,429_442A_442B_GLP,429_442A_442B_SCCS comment to test,429_442A_442B_Ref. in dossier,429_442A_442B_control group,429_442A_442B_preliminary test,429_442A_442B_additional information,429_442A_442B_own comments,406_histopathological observations,406_first grading,406_second grading,rechallenge grading ,406_conclusion,406_outcome of test,406_homogeneity,406_pH,406_concentration (%),406_composition,406_purity (%),406_solubility in vehicle,406_chemical batch nr,406_additional info,406_species/strain,406_source,age at start of experiment,406_sex,406_feed,406_n animals / group,deviation from guideline,406_dose levels,intradermal injections,406_injection vehicle,406_patch site preparation,406_filter paper material and size,406_vehicle,,406_year,406_GLP,406_SCCS comment to test,406_Ref. in dossier,406_control group,406_preliminary study,406_additional information,406_own comments,non_oecd_histopathological observations,non_oecd_first grading,non_oecd_second grading,non_oecd_rechallenge grading ,non_oecd_conclusion,non_oecd_outcome of test,non_oecd_homogeneity,non_oecd_pH,non_oecd_concentration (%),non_oecd_composition,non_oecd_purity (%),non_oecd_solubility in vehicle,non_oecd_chemical batch nr,non_oecd_additional info,non_oecd_species/strain,non_oecd_source,non_oecd_age at start of experiment,non_oecd_sex,non_oecd_feed,non_oecd_n animals / group,non_oecd_deviation from guideline,non_oecd_dose levels,non_oecd_intradermal injections,non_oecd_injection vehicle,non_oecd_patch site preparation,non_oecd_filter paper material and size,non_oecd_vechicle,non_oecd_duration of application,non_oecd_application area,non_oecd_volume,non_oecd_occlusion,non_oecd_testing procedure,non_oecd_scoring times,non_oecd_additional info,non_oecd_induction of local irriation,non_oecd_year,non_oecd_GLP,non_oecd_SCCS comment to test,non_oecd_control,non_oecd_Ref. in dossier,non_oecd_additional information,non_oecd_own comments,,,,,,,,,,,,,
"toluene-2,5-diamine and its sulfate",/,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_052.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.6% were test positive to toluene-2,5-diamine, 7.2% to p-phenylenediamine, 0.2% to resorcinol, 1.8% to o-nitro- PPD, 2.1% to p-aminodiphenylamine, 0.1% to p-toluene sulfate.",,,,,,,,,,human/dermatitis patient,,,,,5202,,,,,,,,,,,,patch tested with a standard series and supplementary substances,,,,,,"results from several diagnostic patch studies in dermatitis patients show a high rate of contact allergy to toluene-2,5-diamine and toluene-2,5-diamine sulphate. the highest rate was found in dermatitis patients being hairdressers (16.8%), followed by dermatitis patients selected due to symptoms or exposure related to cosmetics (9.5%), and unselected dermatitis patients (2.4%). the rate of contact allergy to toluene-2,5- diamine sulphate in hairdressers (not patients) was 2-2.7%.due to different selection criteria and different patch test substances used, conclusions cannot be drawn concerning the trend over time of contact allergy to toluene- 2,5-diamine and toluene-2,5-diamine sulphate. the results indicate that patch test reactivity is higher to toluene-2,5-diamine than toluene-2,5-diamine sulphate (particularly ref 69 Frosch).in all publications (except ref 71), results from patch testing with p-phenylenediamine is given and in several publications also results from tests with additional hair dye substances. in the majority of publications, the rate of contact allergy to p-phenylenediamine was the highest, followed closely by toluene-2,5-diamine, both generally much higher than to other hair dye substances. in some publications, the order between p-phenylenediamine and toluene-2,5-diamine was reversed.the results do not allow further conclusions concerning concomitant patch test reactions - whether they were the result of multiple sensitisation, or if the result of cross-reactivity to different compounds was due to chemical similarity. Conclusions concerning cross-reactivity require animal studies where induction and elicitation are controlled.",,76,patch tested in Belgium,,,,,,,,,,,,,,
"toluene-2,5-diamine and its sulfate",/,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_052.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.5% were test positive to toluene-2,5-diamine, 3% to p-",,,,,,,,,,human/dermatitis patient,,,f & m,,1385(824 & 561),,,,,,,,,,,,patch tested with a standard series,,,,1972-1976,,"results from several diagnostic patch studies in dermatitis patients show a high rate of contact allergy to toluene-2,5-diamine and toluene-2,5-diamine sulphate. the highest rate was found in dermatitis patients being hairdressers (16.8%), followed by dermatitis patients selected due to symptoms or exposure related to cosmetics (9.5%), and unselected dermatitis patients (2.4%). the rate of contact allergy to toluene-2,5- diamine sulphate in hairdressers (not patients) was 2-2.7%.due to different selection criteria and different patch test substances used, conclusions cannot be drawn concerning the trend over time of contact allergy to toluene- 2,5-diamine and toluene-2,5-diamine sulphate. the results indicate that patch test reactivity is higher to toluene-2,5-diamine than toluene-2,5-diamine sulphate (particularly ref 69 Frosch).in all publications (except ref 71), results from patch testing with p-phenylenediamine is given and in several publications also results from tests with additional hair dye substances. in the majority of publications, the rate of contact allergy to p-phenylenediamine was the highest, followed closely by toluene-2,5-diamine, both generally much higher than to other hair dye substances. in some publications, the order between p-phenylenediamine and toluene-2,5-diamine was reversed.the results do not allow further conclusions concerning concomitant patch test reactions - whether they were the result of multiple sensitisation, or if the result of cross-reactivity to different compounds was due to chemical similarity. Conclusions concerning cross-reactivity require animal studies where induction and elicitation are controlled.",,77,"patch tested in Vienna, Austria ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,phenylenediamine and 0.4% to resorcinol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"toluene-2,5-diamine and its sulfate",/,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_052.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.6% were test positive to toluene- 2,5-diamine sulfate, 7.3% to p-phenylenediamine, 4.2% p-aminodiphenylamine, 4.6% to o- nitro-p-phenylenediamine and 0.4% to resorcinol",,,,,,,,,,human/dermatitis patient (hairdresser's client),,,f & m,,261(256 & 5),,,,,,,,,,,,patch tested with the Italian standards series for patch testing and with a hairdressers’ screening series,,,,1985-1990,,"results from several diagnostic patch studies in dermatitis patients show a high rate of contact allergy to toluene-2,5-diamine and toluene-2,5-diamine sulphate. the highest rate was found in dermatitis patients being hairdressers (16.8%), followed by dermatitis patients selected due to symptoms or exposure related to cosmetics (9.5%), and unselected dermatitis patients (2.4%). the rate of contact allergy to toluene-2,5- diamine sulphate in hairdressers (not patients) was 2-2.7%.due to different selection criteria and different patch test substances used, conclusions cannot be drawn concerning the trend over time of contact allergy to toluene- 2,5-diamine and toluene-2,5-diamine sulphate. the results indicate that patch test reactivity is higher to toluene-2,5-diamine than toluene-2,5-diamine sulphate (particularly ref 69 Frosch).in all publications (except ref 71), results from patch testing with p-phenylenediamine is given and in several publications also results from tests with additional hair dye substances. in the majority of publications, the rate of contact allergy to p-phenylenediamine was the highest, followed closely by toluene-2,5-diamine, both generally much higher than to other hair dye substances. in some publications, the order between p-phenylenediamine and toluene-2,5-diamine was reversed.the results do not allow further conclusions concerning concomitant patch test reactions - whether they were the result of multiple sensitisation, or if the result of cross-reactivity to different compounds was due to chemical similarity. Conclusions concerning cross-reactivity require animal studies where induction and elicitation are controlled.",,78," patch tested in Bologna, Italy",,,,,,,,,,,,,,
"toluene-2,5-diamine and its sulfate",/,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_052.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9.7% were positive to toluene-2,5-diamine sulfate, 15% to p- aminoazobenzene, 3.2% to p-aminophenol, 3.2% to o-nitro-p-phenylenediamine, 2.6% to p-aminodiphenylamine and 0.6% to resorcinol. ",,,,,,,,,,human/dermatitis patient with positive reaction to p-phenylenediamine,,,,,154,,,,,,,,,,,,tested with para compounds frequently used in hair dyes,,,,1996-1999,,"results from several diagnostic patch studies in dermatitis patients show a high rate of contact allergy to toluene-2,5-diamine and toluene-2,5-diamine sulphate. the highest rate was found in dermatitis patients being hairdressers (16.8%), followed by dermatitis patients selected due to symptoms or exposure related to cosmetics (9.5%), and unselected dermatitis patients (2.4%). the rate of contact allergy to toluene-2,5- diamine sulphate in hairdressers (not patients) was 2-2.7%.due to different selection criteria and different patch test substances used, conclusions cannot be drawn concerning the trend over time of contact allergy to toluene- 2,5-diamine and toluene-2,5-diamine sulphate. the results indicate that patch test reactivity is higher to toluene-2,5-diamine than toluene-2,5-diamine sulphate (particularly ref 69 Frosch).in all publications (except ref 71), results from patch testing with p-phenylenediamine is given and in several publications also results from tests with additional hair dye substances. in the majority of publications, the rate of contact allergy to p-phenylenediamine was the highest, followed closely by toluene-2,5-diamine, both generally much higher than to other hair dye substances. in some publications, the order between p-phenylenediamine and toluene-2,5-diamine was reversed.the results do not allow further conclusions concerning concomitant patch test reactions - whether they were the result of multiple sensitisation, or if the result of cross-reactivity to different compounds was due to chemical similarity. Conclusions concerning cross-reactivity require animal studies where induction and elicitation are controlled.",,79,tested in Amsterdam,,,,,,,,,,,,,,
"toluene-2,5-diamine and its sulfate",/,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_052.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11 cases (possibly 2.3%) were tested positive to toluene-2,5-diamine, 33 cases to p-phenylenediamine, 8 cases to 2-nitro-p-phenylenediamine, 2 cases to n- phenyl-p-phenylenediamine, 1 case to resorcinol. ",,,,,,,,,,human/dermatitis patient with proven contact allergy to cometic ingredient,,,,,475,,,,,,,,,,,,,,,,1996,,"results from several diagnostic patch studies in dermatitis patients show a high rate of contact allergy to toluene-2,5-diamine and toluene-2,5-diamine sulphate. the highest rate was found in dermatitis patients being hairdressers (16.8%), followed by dermatitis patients selected due to symptoms or exposure related to cosmetics (9.5%), and unselected dermatitis patients (2.4%). the rate of contact allergy to toluene-2,5- diamine sulphate in hairdressers (not patients) was 2-2.7%.due to different selection criteria and different patch test substances used, conclusions cannot be drawn concerning the trend over time of contact allergy to toluene- 2,5-diamine and toluene-2,5-diamine sulphate. the results indicate that patch test reactivity is higher to toluene-2,5-diamine than toluene-2,5-diamine sulphate (particularly ref 69 Frosch).in all publications (except ref 71), results from patch testing with p-phenylenediamine is given and in several publications also results from tests with additional hair dye substances. in the majority of publications, the rate of contact allergy to p-phenylenediamine was the highest, followed closely by toluene-2,5-diamine, both generally much higher than to other hair dye substances. in some publications, the order between p-phenylenediamine and toluene-2,5-diamine was reversed.the results do not allow further conclusions concerning concomitant patch test reactions - whether they were the result of multiple sensitisation, or if the result of cross-reactivity to different compounds was due to chemical similarity. Conclusions concerning cross-reactivity require animal studies where induction and elicitation are controlled.",,80,"patch testing in 5 european centres in the UK, Germany and Belgium",,,,,,,,,,,,,,
"toluene-2,5-diamine and its sulfate",/,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_052.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10.0% were tested positive to toluene-2,5- diamine, 14.1% to p-phenylenediamine, 3.1% to p-aminophenol and 16.2% to p- aminoazobenzene",,,,,,,,,,human/dermatitis patient,,,,,613(*),,,,,,,,,,,,patch tested with the German Contact Dermatitis Group (DKG) para-amino compounds test series,,,,1995-1999,,"results from several diagnostic patch studies in dermatitis patients show a high rate of contact allergy to toluene-2,5-diamine and toluene-2,5-diamine sulphate. the highest rate was found in dermatitis patients being hairdressers (16.8%), followed by dermatitis patients selected due to symptoms or exposure related to cosmetics (9.5%), and unselected dermatitis patients (2.4%). the rate of contact allergy to toluene-2,5- diamine sulphate in hairdressers (not patients) was 2-2.7%.due to different selection criteria and different patch test substances used, conclusions cannot be drawn concerning the trend over time of contact allergy to toluene- 2,5-diamine and toluene-2,5-diamine sulphate. the results indicate that patch test reactivity is higher to toluene-2,5-diamine than toluene-2,5-diamine sulphate (particularly ref 69 Frosch).in all publications (except ref 71), results from patch testing with p-phenylenediamine is given and in several publications also results from tests with additional hair dye substances. in the majority of publications, the rate of contact allergy to p-phenylenediamine was the highest, followed closely by toluene-2,5-diamine, both generally much higher than to other hair dye substances. in some publications, the order between p-phenylenediamine and toluene-2,5-diamine was reversed.the results do not allow further conclusions concerning concomitant patch test reactions - whether they were the result of multiple sensitisation, or if the result of cross-reactivity to different compounds was due to chemical similarity. Conclusions concerning cross-reactivity require animal studies where induction and elicitation are controlled.",,81,,(*): the refernce mentioned 638 patient,,,,,,,,,,,,,
"toluene-2,5-diamine and its sulfate",/,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_052.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.6% were test positive to toluene-2,5-diamine, 2% to p-phenylenediamine, 0.2% to 3-aminophenol, 2- nitro-phenylenediamine and to 4-aminophenol(*).",,,,,,,,,,human/dermatitis patient,,1-93years,f & m,,819(589 & 230),,,,,,,,,,,,"patch tested with the standard, complementary cosmetic-medicinal and additional series",,,,1998-1999,,"results from several diagnostic patch studies in dermatitis patients show a high rate of contact allergy to toluene-2,5-diamine and toluene-2,5-diamine sulphate. the highest rate was found in dermatitis patients being hairdressers (16.8%), followed by dermatitis patients selected due to symptoms or exposure related to cosmetics (9.5%), and unselected dermatitis patients (2.4%). the rate of contact allergy to toluene-2,5- diamine sulphate in hairdressers (not patients) was 2-2.7%.due to different selection criteria and different patch test substances used, conclusions cannot be drawn concerning the trend over time of contact allergy to toluene- 2,5-diamine and toluene-2,5-diamine sulphate. the results indicate that patch test reactivity is higher to toluene-2,5-diamine than toluene-2,5-diamine sulphate (particularly ref 69 Frosch).in all publications (except ref 71), results from patch testing with p-phenylenediamine is given and in several publications also results from tests with additional hair dye substances. in the majority of publications, the rate of contact allergy to p-phenylenediamine was the highest, followed closely by toluene-2,5-diamine, both generally much higher than to other hair dye substances. in some publications, the order between p-phenylenediamine and toluene-2,5-diamine was reversed.the results do not allow further conclusions concerning concomitant patch test reactions - whether they were the result of multiple sensitisation, or if the result of cross-reactivity to different compounds was due to chemical similarity. Conclusions concerning cross-reactivity require animal studies where induction and elicitation are controlled.",,82,in Belgium,(*) the specified result numbers couldn't be verified by going back to the reference,,,,,,,,,,,,,
sodium perborate monohydrate,,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_031.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,the test substance was regarded to be not skin sensitising in this test.,one of 10 test group animals as well as one of 10 control group animals showed a very slight erythema after 24 h. The test substance was regarded to be not skin sensitising in this test ,,,5% in ditilled water ,,,,,test substance: sodium perborate monohydrate powder,guinea pig,,,f & m,,10,Bühler test according to OECD guideline 405 test,5%,,,,,distilled water,6 hours/day,,0.5 ml,occluded,"animals were inducted once every seven days for a total of three applications, 14 days after last induction the animals were challenged",,,"yes, 0.5ml 6 hours /dayonce every 7 days for a total of three applications",1987,,,,interox 1987c,"by ECB (2007): sodium perborate is not to be regarded as a skin sensitising substance. Furthermore, thereis no concern for respiratory sensitisation. ",,,,,,,,,,,,,,
resorcinol,OECD 429,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"lymphoproliferative responses observed in negative control groups fell within historical ranges, while significant lymphoproliferation was observed with α-hexylcinnamaldehyde at 25% ( positive control), thus validating the sensitivity of the test system and procedure used. no mortality and no clinical signs were observed in the first experiment. in the second experiment, hypoactivity, piloerection and dyspnoea were observed on day 3 in 1/4 and 2/4 animals of the treated groups given 1% and 5%, respectively. no cutaneous reactions and no increase in ear thickness were observed at any tested concentrations.","experiment 1: 3.83, 4.14, 3.97, 3.51, 3.30, positive control 7.48 - experiment 2: 1.58, 2.87, 1.97, 3.51, 5.74, positive control 6.97",,,,,,"in the first experiment, positive lymphoproliferative responses (SI>3) were noted at all tested concentrations, but no clear dose-response relationship was observed. in the second experiment, a dose-related increase in SI was observed (except at the concentration of 1%) and the threshold positive value of 3 was exceeded at concentrations ≥ 5%. the EC3 value for this experiment was 1.4%. resorcinol induced contact sensitisation in this study",,,,,,98.8,,706030517,,mouse/CBA/J,,,f,,4,,"experiment 1: 2.5%, 5%, 10%, 25% and 50% and experiment 2: 0.1%, 0.5%, 1%, 5% and 25%",,once daily for 3 days,dimethylformamide,2004,yes,"according to the grading scheme used by the SCCS, resorcinol should be considered as a strong sensitiser.",4,,,"7 groups of 4 animals in two independent performed experiments. a preliminary test was performed in four (4) female mice to determine the irritant potential of the test compound. the maximum practicable, non-irritant concentration was found to be 50%.  dose volume: 25µl applied to the dorsal surface of both ears, administration of 250µl of 0.9%NaCl containing 20µCi of tritiated thymidine (3H-TdR) on day 6 for 5hours before excising auricular lymph nodes cell, cell proliferation measured by  β-scintillation counting, the left ear thickness measured on days 1,2,3 and 6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
