dossier ,guideline ,PDF link ,method of analysis/ method of detection,observations,moribound animal,corrosivity,"grading of lesion,  irritation response scores ( IVIS, ICE class, irritation index)",cell viability,optical density,IL-1α concentration,systemic effects,"corneal swelling, opacity and fluorescein retention",opacity and permeability,membrane barrier penetration,skin impedance TER,dye binding assay data,results,conclusion,homogeneity and stability ,pH,physical form ,"treatment(grinding, wetting )",particle size,concentration (%),composition,purity (%),direct interaction with MTT,coloring of tissue,solubility in vehicle,chemical batch nr,additional info,0,species/strain,source,age at start of experiment,"age measuring unit (day, week, month, year)",sex,weight,"weight measuring unit (gram, kilogram)",feed,n animals / group,test system,"test system details ( source, stored prior to use, wetting, treatment, strain, pre-, age at sacrifice)",replicates /condition,cell design,receptor fluid,viability,barrier function,morphology,quality control,calibration,proficiency,TER measurement,"measuring system ( uplc/hplc-spectrophotometer,….)",age at sacrifice,in silico,dose level,unity ( or extra information),dose volume (mL),administration / application scheme,route of exposure,use of anaesthesic/analgesic,"patch system ( open, semi-occluded, occluded)",skin condition,exposed area (cm2),exposure time/ time point ,"exposure unity (seconde,,minute,hour, day) and extra information ",observation period (day),scoreing times/sampling franctions,application scheme,treatment period,treatment period time unity ,temperature during treatment period(°C),humidity,temperature during post-treatment(°C),post treatment incubation time,post treatment incubation medium,rinsing ,vehicle name ,vehicle concentration %,procedure,additional info,year,GLP,SCCS comment to test,Ref. in dossier,preliminary study ,Klimisch score,control groups,additional information,own comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vetiveryl acetate ,OECD 405,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_167.pdf,,conjunctival redness and chemosis were observed in all animals and persisted in one animal until day 7 after the treatment. no corneal damage was observed and no effects on the iris were noted except in one animal  at the 1-hour reading. ,,"conjunctival redness (grade 1 and 2) and chemosis (grade 1 and 2), persisiting grade 1 until day 7, iris affected (grade 1) in one animal, the mean score for conjunctival redness was 1.2 and the mean score for chemosis was 1.3.",no,,,,,,,,,,,not  classified as eye irritating,,,colourless to slight yellowish liquid,,,,neat substance,,,,,20070028,"test substance: vetiveryl acetate extra(CAS No. 117-98-6), ester content: 85.7%",in vivo,rabbit / new zealand white,,,,f,,,,4,,,,,,,,,,,,,,,,,,0.1 ,single instillation in the conjunctival sac of the eye,ocular,,,,,,,14," 1, 24, 48 and 72 hours, 7 and 14days, after 24hour fluorescein was installed and corneal damage was evaluated afterwards.",,,,,,,,,yes with isotonic sodium chloride after 24h,,,,,2000,yes,"under the conditions of this study, the test substance is irritating to the rabbit eye. the composition of the test substance is unknown to the SCCS",74,,,the untreated eye served as control. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vetiveryl acetate ,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_167.pdf,,"eyes were graded for corneal, conjunctival and iridial damage. the neat test substance (group c) caused a slight corneal lesion, which healed by day 3. the 50% dilution (group b) caused a persistent moderate corneal opacity with slight swelling, which persisted for up to 12 days (last reading). moderate conjunctivitis and discharge were noted; no conjunctival effects were observed on day 12. iridial damage was noted at day 2 and 3. the animal also developed slight peripheral pannus. the 10% dilution (group a) caused slight corneal lesions in all three animals, which healed on or before by day 5. all animals experienced slight conjunctivitis and two had a slight discharge, which disappeared on or before day 5.",no,,"group c: grade 1 corneal lesion healed after day 3. group b: moderate corneal opacity with grade 1 swelling, grade 2 and 1 conjuctivitis and discharge with no conjuctival effect, grade 3 and 1 of iridial damage. group a: grade 1 corneal lesion healed on or before day 5, grade 1 conjuctivitis and grade 1 discharging",,,,,,,,,,,the 10% and undiluted preparations were only slightly irritant. the 50% preparation was a moderate irritant and caused peripheral pannus.,,,colourless clear liquid,,,"100, 50, 10","group c: neat substance, group b and group a: test substance diluted in tween 80 ",,,,,,"test substance: vetivenyl acetate, PPL 81/15, ester content: 46%",in vivo,rabbit / new zealand white,,,,f & m,,,,3/1/1,,,,,,,,,,,,,,,,,,0.1,single instillation in the conjunctival sac of the eye,ocular,,,,,,,12,24h and thereafter daily until day 12,,,,,,,,,,tween 80,,,,1982,no,"under the conditions of this study, the 50% dilution is moderately irritating to the rabbit eye, whereas the neat test substance and the 10% dilution are mildly irritating to the rabbit eye. the composition of the test substance is unknown to the sccs. based on the submitted studies, the eye irritation potential of vetiveryl acetate cannot be evaluated",59,,,the untreated eye served as control ,"so-called limited screen test, animals per group: 3/group a, 1/group b, 1/ group c",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vetiveryl acetate ,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_167.pdf,,"the neat test substance had no corneal effects; very slight conjunctivitis was present only initially at 15 minutes after instillation. the 50% dilution caused slight corneal lesions in both rabbits, as well as slight conjunctivitis and discharge; no effects were observed on day four",,,"neat substance caused grade 1 conjuctivitis initially, the 50% dilution caused grade 1 of corneal lesion and grade 1 of conjuctivitis and discharge",,,,,,,,,,,the 50% preparation was only slight irritant. the 100% preparation was non-irritant,,,colourless clear liquid,,,"100, 50",neat substance or 50% dilution in tween 80,,,,,,"test substance: vetivenyl acetate, PPL 81/15, ester content: 46%",in vivo,rabbit / new zealand white,,,,f & m,,,,2,,,,,,,,,,,,,,,,,,0.01,single instillation in the conjunctival sac of the eye,ocular,,,,,,,4,24h and thereafter daily until effects disappeared,,,,,,,,,,tween 80,,,,1982,no,"under the conditions of this study, the 50% dilution is mildly irritating to the rabbit eye, whereas the neat test substance is not irritating to the rabbit eye. the composition of the test substance is unknown to the sccs. based on the submitted studies, the eye irritation potential of vetiveryl acetate cannot be evaluated",58,,,the untreated eye served as control ,so-called small volume test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tetrabromophenol blue,OECD 404,https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_232.pdf,,"no skin irritation caused by 4 to 5 hours exposure, after 1 h, no scoring of erythema possible in two animals due to blue staining of the test substance, blue staining of the treated skin by the test item was observed throughout the observation period. dry remnants of the test item were noted on the skin of one animal up to 48 hours after removal of the bandage.",no,,,,,,,,,,,,,no irritant to the skin,,,,moistened with water,,,test substance moistened with 0.25ml water. ,96.7-98.8,,,,tbfb3/02/30,,in vivo,rabbit/albino new zealand white(spf-quality),,,,m,, ,,3,,,,,,,,,,,,,,,,0.5,g,,single,dermal,,semi-occlusive,clipped skin,150,4 --> 5,h,3,"1, 24, 48, 72h",,,,,,,,,,,,,,,yes,,"2, submission 1 and 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tetrabromophenol blue,OECD 405,https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_232.pdf,,"effets on the cornea, iris and conjuctivae. corneal injury as opacity and epithelial damage (max50% of the corneal area), iridial irritation in all animals after 24 and 48 hours observation onwards. irritation of the conjunctivae was seen as redness, chemosis and discharge. grey/white discolouration of the eyelids (sign of necrosis) and reduced elasticity of the eyelids were observed in all animals after 48 and 72 hours. based on the severity of the corneal injury, the study was terminated after the 72-hour observation. blue staining of (peri) ocular tissues and of the fur on the head and paws by the test item was noted during the observation period. this staining prevented scoring of corneal injury, iridial irritation and conjunctival redness after 1 hour, and scoring of the lower eyelid, nictitating membrane and sclera after 24 hours among all animals. scoring of iridial irritation was hampered by corneal damage (opacity) in two animals at 48 and 72 hours after instillation. also, remnants of the test item were present in the eyes of all animals at 1 and 24 hours after instillation.",,yes,"opacity max grade 4, iridial irritation grade 1",,,,no,,,,,,,"based on the degree and persistence of the corneal injury, it was concluded that ocular corrosion had occurred by instillation of the pure test item into the rabbit eye in all three animals. the test item (pure substance) poses a risk of serious damage to eyes.",,,solid,,,,neat substance,96.7 – 98.8,,,,tbfb3/02/30,,in vivo,rabbit/ albino new zealand white (spf-quality),,,,m,,,,3,,,,,,,,,,,,,,,,67,mg,≈ 0.1,,,,,,,,,3,"1, 24, 48 and 72 hours",,,,,,,,,,,,,,,yes,,"3 (submission 1 , 2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tetrabromophenol blue,OECD 405,https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_232.pdf,,"instillation of the test substance resulted in irritation of the conjuctivae seen as redness and /or discharge.the irritation had completely resolved within 24 hours in all animals. no iridial irritation or corneal opacity was observed. treatment of the eyes with 2% fluorescein, 24 hours after test substance instillation revealed no corneal epithelial damage in any of the animals. blue staining of the fur on the head and paws, caused by the test substance, was noted during the observation period.",,,,,,,no,,,,,,,tetrabromophenol blue in a dilution of 2% is not irritant for the eyes.,,,liquid,,,2,2 w/w% solution in phosphate buffer,96.7 – 98.9,,,,tbfb3/02/30,,in vivo,rabbit/ albino new zealand white (spf-quality),,,,m,,,,3,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,3,"1,24,48 and 72 hours",,,,,,,,,,phosphate buffer,,,,,yes,,"4 (submission 1 , 2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"toluene-2,5-diamine and its sulfate",OECD 404,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_052.pdf,,"no oedema, ulceration or necrosis. evaluation of erythema was not possible due to the black colouration of the treatment site",,,,,,,,,,,,,,"although the application of a 50.6% aqueous solution of Imexine OD produced no evidence of an oedematous response after topical application under semi-occluded conditions in new zealand white rabbits, an erythematous response could not be excluded due to black colouration of the treatment site by the test substance",,9.71,,,,,test substance consisted of active ingredient with water,50.6,,,,op T 784,test substance: Imexine OD (free base) ,in vivo,rabbit / new zealand white,,,,m,,,,3,,,,,,,,,,,,,,,,0.5,ml,,single,dermal ,,semi-occlusive on a dry compress,clipped skin,6,4,h,6,"1 h, 24 h, 48 h, and 72 h after removing the dressing and then daily until day 6",,,,,,,,,,none,,,,,yes,"in this in vivo study in rabbits, a 50.6% Imexine OD applied under semi-occlusive conditions did not produce evidence of oedema and could not be evaluated for erythema due to black colouration of the skin. ",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"toluene-2,5-diamine and its sulfate",non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_052.pdf,,"slight erythema with and without very slight oedema was observed in the intact and damaged sites, respectively, of one animal at the 24 h evaluation. at 72 h no signs of irritation were observed.",,,,,,,,,,,,,,mildly irritating to rabbit skin under the conditions of this test,,7.0,,,,2.5,"2.5% w/v solution of toluene-2,5-diamine in aqueous 0.05% sodium sulphite",,,,,,"test substance: toluene-2,5-diamine",in vivo,rabbit / new zealand white,,,,m,,,,3,,,,,,,,,,,,,,,,0.5 ,ml,,single,dermal,,occlusive ,intact and damaged skin,,24,h,3,24 h and at 72 h,,,,,,,,,,water,,,,,no,"in an in vivo study in rabbits, a 50.6% Imexine OD applied under semi-occlusive conditions did not produce evidence of oedema and could not be evaluated for erythema due to black colouration of the skin. in this experiment, which did not conform to guidelines or GLP, the test substance was irritant to rabbit skin under occlusive conditions. ",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"toluene-2,5-diamine and its sulfate",OECD 405,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_052.pdf,,"the test substance induced marked conjunctival irritation with chemosis and redness, slight iridial irritation and moderate to slight corneal opacity. all of these effects were reversible within 7-8 days.",,,,,,,,,,,,,,"the test substance was applied undiluted and was not rinsed from the eye, the test substance was irritating to the rabbit eye. the high pH of the test solution may have contributed to the observed irritation.",,9.71,liquid,,,,test substance consisted of the active ingredient with water ,50.6,,,,op T 784,test substance: Imexine OD (free base),in vivo,rabbit / new zealand white,,,,m,,,,1,,,,,,,,,,,,,,,,,,0.1,single instillation in the conjunctival sac of the left eye,ocular ,,,,,,,8,"1, 24, 48, and 72 h after application and then daily until day 8 ",,,,,,,,,no,none,,,,,yes,"eye irritation studies have demonstrated that undiluted Imexine OD is irritant to the rabbit eye. some irritant effects were also seen with 2.5% toluene-2,5-diamine solution in rabbits and undiluted toluene-2,5-diamine sulfate in the HET-CAM test. the intended on-head concentration is up to 7.2%",19,,,the right eye served as a control ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"toluene-2,5-diamine and its sulfate",non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_052.pdf,,mild conjunctival irritation was observed in 2 animals on days 1 and 3 respectively,no,,,,,,,,,,,,,"under the conditions of this test, a 2.5% toluene-2,5-diamine solution caused slight irritation to rabbit eyes.",,7.0,,,,2.5,"2.5% w/v solution of toluene-2,5-diamine in 0.05% aqueous sodium sulphite",,,,,,"test substance: toluene-2,5-diamine",in vivo,rabbit / new zealand white,,,,m,,,,3,,,,,,,,,,,,,,,,0.1 ml,,,single,ocular,,,,,10,s,7,"1 h and then at days 1, 2, 3, 4, and 7",,,,,,,,,eye was rinsed after 10 seconds with 50 ml of lukewarm water,water,,,,,no,"eye irritation studies have demonstrated that undiluted Imexine OD is irritant to the rabbit eye. some irritant effects were also seen with 2.5% toluene-2,5-diamine solution in rabbits and undiluted toluene-2,5-diamine sulfate in the HET-CAM test. the intended on-head concentration is up to 7.2%",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"toluene-2,5-diamine and its sulfate",non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_052.pdf,,"the test substance was tested undiluted for its irritation potential on the chorioallantoic membrane of fertilized chicken eggs using the endpoint assessment for non-transparent solid test items. endpoints (haemorrhage, coagulation, and blood vessel lysis) were assessed and semi-quantitatively scored at 30 sec (reference substance) or 180 sec (test substance) after rinsing. for the relevant endpoints of haemorrhage, coagulation and lysis, scores of 0, 0, and 0, respectively, were obtained with p-toluenediamine sulfate. with texapon asv 70(positive control) scores of 12, 9, and 0, respectively, were obtained.",,,"haemorrhage, coagulation and lysis, scored 0, 0, and 0, respectively",,,,,,,,,,,"p-toluenediamine sulfate was predicted to be ‘no more than slightly irritating to mucous membranes’, including the eye. the results with the reference substance, texapon asv 70, were indicative of a moderately irritating effect",,,,,,,,99.9,,,,46847 ,test substance: p-toluenediamine sulfate (code SAT 010935) undiluted,in vitro,,,,,,,,,,chicken eggs  white leghorn ,freshly fertilized,6,,,,,,,,,,,,,,,,,,,,,,,,,30 sec and 180 sec after rinsing.,,30,s,,,,,,rinsed off after 30seconds  with physiological saline ,,,,,,no,"eye irritation studies have demonstrated that undiluted Imexine OD is irritant to the rabbit eye. some irritant effects were also seen with 2.5% toluene-2,5-diamine solution in rabbits and undiluted toluene-2,5-diamine sulfate in the HET-CAM test. the intended on-head concentration is up to 7.2%",21,,,texapon asv 70 (sodium magnesium laurylmyristyl-6-ethoxy-sulfate) at a test concentration of 5% was used as reference substance with this internal benchmark being defined to be moderately irritating to the rabbit eye in vivo. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sodium perborate  and perboric acid,,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_031.pdf,,treatment sites were assessed for the presence of irritation using a 4 point scale. a positive skin reaction included irritation of all grades at any time point. 1 of 26 test persons  showed a positive skin reaction while 21 of the 26 reacted to the positive control (SDS),,,,,,,,,,,,,,the material was evaluated as non-irritant to human skin,,,,,,,,,,,,,test substance: sodium perborate monohydrate,in vivo,human healthy ,,18 --> 65,year,,,,,26,,,,,,,,,,,,,,,,0.2 ,g,,single,dermal,,25mm pain hill top chamber containing a moisture Webril,applied onto the upper outer arm,,15 --> 4,progressively minutes to hours,,,,,,,,,,,,,,,,1996,no,,,,,positive control (SDS),"conclusion by ecb (2007):both, sodium perborate monohydrate and tetrahydrate tested in rabbits as a solid substance according to the criteria for classification should not be classified as skin irritants. however, in some studies with the monohydrate after prolonged exposure very mild irritating effects were observed which were not completely reversible in some cases. solutions of 10% sodium perborate tetrahydrate are mildly irritating. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sodium perborate  and perboric acid,,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_031.pdf,,"sodium perborate showed severe eye irritating effects when applied as solid substance, moderate corneal opacity, severe iritis and conjunctival effects which consisted of severe redness, moderate chemosis and severe discharge were recorded. the effects were not completely reversible. rinsing within 30 seconds after application reduced the severity of the effect considerably. also with lower concentrations than in standard protocols the effect was weaker. the irritating potential of sodium perborate tetrahydrate seems to be lower than for the monohydrate, being consistent with its higher water content.",,,,,,,,,,,,,,,,,solid,,,,,,,,,,test substance: sodium perborate monohydrate and tetrahydrate,in vivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocular,,,,,,,,,,,,,,,,,,,,,,,no,,"ici, 1986 a, b",,,,"conclusion by ECB (2007) :sodium perborate caused strong eye irritation in animal studies, the effects being not reversible in most of the animals tested. although the scores for irritation are not sufficientfor classification with R41, due to the irreversible effect, both sodium perboratemonohydrate and sodium perborate tetrahydrate are proposed to be classified with R41, ""risk of serious damage to eyes"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"quinolinium, 4-formyl-1-methyl-, salt with 4-methylbenzene sulfonic acid (1:1)",non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_080.pdf,,"the skin reaction was assessed according to the numerical scoring system listed in the guideline. well-defined erythema were noted in all animals at the 24 h examination and persisted through 15 days (1 animal), slightly decreased at the day examination (1 animal) or increased in severity at 48 h before diminishing to clear by day 15 (1 animal). very slight to slight oedema was observed in all animals at the 1 h or 24 h examination to disappear at 24-48 hour examination in two animals and persisting through 48 h in one animal. a very slight oedema still appeared in one animal at the 72 h examination. slight to moderate scaling was observed in all animals at the 7 day reading and persisted in one animal through 15 days.  no staining by the test substance of the treated skin was observed during the observation period. no irreversible alterations of the treated skin were observed in two animals nor were corrosive effects evident on the skin.",,,primary irritation score of 2.78. local signs (mean values from 24 to 72 hours) consisted of grade 2.22 erythema and grade 0.56 oedema,,,,,,,,,,,moe-hm-6116-190 is considered to be an irritant to rabbit skin.,,,,mosietened with bi-distilled water ,,,,97.9 ,,,,sat 990705,test substance: moe-hm-6116-190,in vivo,rabbit / new zealand white,,15,weeks,f & m,,,,3,,,,,,,,,,,,,,,,0.5 ,g,,single,"dermal, intact skin of the shaved area on the left side of the animals",,"semi-occlusive,  the dressing was wrapped around the abdomen and anchored with tape. surgical gauge patch (ca. 2.5 cm x 2.5 cm)",intact shaved skin on the left side,6,4,h,15," 1, 24, 48 and 72h as well as 7 and 15 days after removal ",,,,,,,,,after the exposure the dressing was removed and the skin was flushed with lukewarm tap water to clean the application site so that any reactions (erythema) were clearly visible at that time.,bi-distilled water,,,,,yes,,7,,,,"guideline: 92/69/EEC, b.4, acute toxicity – skin irritation. 1 male, 2 females",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
